tweet,label
talking angela is a hoe,1
lol they tricking niccas left n right,1
bitches get stuff done,1
@artalegaspare bitch i got the flameeee,1
@vivaalakatyy @brotherbill7 @jhuff5 good bitch choke,1
i like saying the word pussy hoe ion no why!,1
this bitch forehead hairline who lied to her amp approved this shit,1
@mingtong007 you still are a cunt,1
i feel bad for her nicca tho ya girl a hoe my nicca!,1
log off nigger @polokingbc relationshipgoals,2
@mrnwachukwu naw them boys trash we started coasting,1
@itstylerstarr if we date get rid of ya ex's i'll get rid of my hoes we don't need no interference,1
8220@kashstackz yall are so confused these days somebody put that hoe in a dress,1
like animal crackers are legit the best snack,2
@yungill314 everybody in dot moboredmickey factz when you battled clips he wore some ancient hong kong shit 2 different colored hitops,1
@danharrison1985 @cecilhurt charlie strong got down to the 53man roster nearly as quickly as texans did,2
' i ain't trippen off you no mo 9995 i done dropped you knocked 4owe i could neva be a foo for a hoe i put,1
@ebomb26 cool beaners i just got home ready to keep my couch from floating away lol,2
i bent yo bitch over that's why you mad these niggas broke that's why i laugh,1
@tupactopus need a bad bitch who knows how 2 treat a pokemon master right,1
@iaintshitbruh white bitches win again smh 8220@trackinblackkev i fucking hate you @michelledbeadle8221,1
@socass patrick you ain't nottin but a hood nigga top bitch nigga,1
eat your vegetables or you'll grow up to be a pussy,1
@0o faggot,0
having sex with a guy wont keep him around for you dumb hoes who think that theres plenty pussy just gotta have a guy who wont give in,1
8220@mannybdlopez when you open your starburst candy and get 2 yellows lmao bruh,2
bad bitches only,1
@kermitisasnitch you always say we dont love these hoes yet yo girl a hoe,1
@michellemcaffey i'll show you how much of a fag i am,1
this is why nothing gets done morons like coburn trying 2 ad a gun amendment 2 a public works bill push back on the teabagger morningjoe,2
this being too sick to function is for the birds ! i was starting to feel slightly better earliernow i feel like death again!,2
if i was stranded on a desert island and i could only bring 1 thing i would bring dora that hoe has everything in that backpack,1
this fucking bitch rachel needs to die please,1
@davethegaybaby no problem remembering all those quirks can be a real bitch,1
@losbeonit sex on 1st date dont mean you a hoe waiting 90 days wont make you a wife cute pics dont mean y'all happy having a title d8230,1
"@kizzmybutt you had me at ""i hate that bitch too""",1
@jergucci my luck the bitch gonna drug me an i won't even kno what happened lmao,1
these brownies,2
ive never seen this part of pussy town before lolololol the end of this song thoo,1
@ideepudj i always waste my time on irrelevant bitches!,1
one thing i hate more than lightskin niggas is a confused bitch like either you go fwm or you gon fw these niggas 9995,1
@realkaysavage that bitch was going or nawl,1
having hoes not cool that one will be better than all them thots,1
@sparklelikezen saves you a brownie,2
bruh sasuke and sakuras daughter gonna be a bad uchiha bitch,1
some of these hoes out here for everybody,1
@grecojoel me let's try a 2nd attempt of my first day of work the cold haha yeah right i fucked your car and your bitch,1
only a hoe would favorite that,1
@drboycewatkins1 coons and monkeys like you disgust me you minstrel show negro crying about shit all the time you're a disgrace everywhere,0
@pennythegoat the biebs is getting fucked right in the pussy,1
john kerry the sellout neverforget how this pussy screwed our troops in vietnam now he's rewarded disgusting,1
i lost all my respect for my brother cause you acting like a straight up bitch,1
"""@edgarpixar overdosing on heavy drugs doesn't sound bad tonight"" i do that pussy shit every day",2
@imsarcasticc yas bitch don't have too much fun,1
"""y'all forget he has his brand new baby girl at home"" bitch the cookies are burning",1
@richhomiekevin go to sleep niggah lol,1
i would def call dwight a cradle robbing faggot if i were kobe,1
@bigboybeezy 8220@ignorealllaws pick one the girl behind the bar who ain't being a hoe,1
the baddest bitch is back on chestnut! @ryancommakerry welcomehome,1
pisses me of when i see these little liberal faggots wearing che guevara shirts move ur ass to cuba,1
@mindcertified if you're a hoe don't expect princess treatment,1
@damnfoodporn oreo cookie pancakes foodporn,2
"@versacecum bitches be like ""9749"" but still be in everybody's business",1
@vernon1488 town at a movie with friends i stabbed a nig 3 times and got sent to prison justice,0
i'm rich bitch said in dave chappell voice,1
' i ain't trippen cause i like her anyways she got a niggah and i got a girl but anyways yea anyways,1
@strapdafool naw deez ain't no 24s hoe u gota add 4 mo str8up,1
bitch probably molly'd the 1st nigga that said good mornin' back to her,1
i won't do nothin with the bitch she can't even get me hard,1
@degg slow rap voice that bitch can suck my dick faster rapping voice that bitch can suck my dick,1
god my tweets are so ghetto,1
@kiantedevuan beautiful smiles and colored eyes,2
@youtalkilive i'm crazy and wayne can rap about pussy 3 songs in a row,1
"""our people"" now is the time for the aryan race 2 stand up and say ""no more"" before the mongerls turn the world into a ghetto slum 1488",0
you mad cuz she fucking on ya enemy she wins cuz you letting that shit fuck with you you can't control these hoes why stress,1
@jaymesshaylan fuuck jalens a slow bitch!,0
dats y i don't argue wit dese bitches lol,1
dem hoes more 8220@leanandcuisine this nigga out here fucking retired widows 8220@irsuns new race fuck black woman,1
@fierceswagg unfollow me bitch i won't cry about it,1
@rachiesoul these hoes ain't loyal,1
@techn9ne why did they add your name all ghetto like that looks like they used label maker lol!,2
this is how im asking my bitch to prom or for her to marry me guareenteed yes,1
lmao this bitch thinks she fancy with some michael kors,1
brown is a color so my eyes are colored,2
nigga ended up going juco messing with them hoes and then signed a the smallest of d1's moral of the story take what u can get,1
@crissstaaaaal if unfollow me you're a little bitch cus you couldn't handle my tweets lol,1
@willyroast2 ratchet hoes wear flip flops that curl up and turned black like souls of slaves walked in them,1
@proseish i know you are a pussy ass coward that is weaker and smaller like gz,1
don't be a fool wrap your tool! unless you wanna be a ratchet white bitch at the clinic with 4 baby daddies she's apparently exempt,1
don't let the hoes lie to you!,1
@fieldsdevante @whiteangelss84 now let's get onto you you slingy dingy ugly salamander lookin bitch i will not waist my time tweeti8230,1
24rozayidgt mad cuz twan fuck his bitch,1
that pussy sooo good,1
@ganderson4 lol it's gonna be so fun got two niglets on the way,1
@lirryfeelsugh i've always wanted to do a youtube cover but i'm too pussy so umm okay how about this 35 rts and i will post a cover8230,1
shawty pussy wet the dope drippn wet,1
@mcgetbizzy rise of the planet of the apes,2
the spot is open for you take so your better grab it before another bitch do and if she is determined and beautiful enough she will do it!,1
@rileyybabyyy how you pressed over some pussy you never had,1
stern fixed the image of the league nba players not knocking they bitch out in elevators,1
@comp10tx rihanna really is trash,2
austin is a funny niggah,1
@istayradasshit 8220@1bookieg what i wish i can do every time i day playing flappy birds foreall,2
mentions probably look like a septic tank @billcosby go ahead meme me! cosbymeme,2
sore loser charlie crist won8217t give concession speech calls for recount tcot pjnet,2
@baskgod nah it's just clowney being a bitch nigga,1
i dont shit talk i chip talk dese niggaz jus bitch talk dese niggaz jus chik stalk naw i aint got no chik,1
when you first walked in the door at that party you saw a big booty hoe 8212 name,1
@ultragoogle what's a puto isn't that bitch in spanish,1
i get gwop now that bitch remember me,1
@ooxlexx i can't stand to be around ghetto girls,2
@nyrkelsmads dat dawg live betta den most colored folk in my hood,1
@rockprincess818 go fight against the idf if you progressive trash hate them so much you don't have the guts to do it istandwithisr8230,2
@yungmigo @chynaakdave na a hoe cry to yu swear she ain't fuckn off n still have a side nigga,1
i love me some fresh pussy all you can eat buffet,1
@carterreynolds austin mahone is making bitches horny right now,1
@womenshumor monday was such a bitch today,1
searches my yellow pages app for the nearest jack in the box,2
shut up bitch,1
me complains about suburban white girls suburban white girl you're a bitch me ok u literally just proved my point,1
shylock amp wongs 3 incidents of democrat bigotry in 3 weeks media mum via @breitbartnews,2
@lucioxnava how about darkskin dykes,1
gucci mane on a bitch,1
melo should've got the bitch for the east,1
